PROVINCE,NAME
ec,ADELAIDE GYMNASIUM
ec,ALIWAL NORTH HIGH
ec,BURGERSDORP HS
ec,BYLETTS COMBINED
ec,CLARENDON GHS
ec,CRADOCK HIGH
ec,COLLEGIATE GHS
ec,DANIEL PIENAAR THS
ec,GILL COLLEGE
ec,GRENS HIGH
ec,KHANYISA HIGH
ec,MTHATHA HIGH
ec,MVENYANE
ec,NYANGA HIGH
ec,NICO MALAN HIGH
ec,PAUL SAUER HIGH
ec,PHANDULWAZI AGRIC. HIGH
ec,QUEENSTOWN GIRLS HIGH
ec,SIVE SPECIAL SCHOOL
ec,ST JOHNS COLLEGE
ec,STRELITZIA HIGH
ec,STUTTERHEIM HIGH
ec,VOLSKOOL HIGH
fs,Landboudal Jacobsdal High School
fs,Boshof High School
fs,Unitas High School
fs,Welkom Gimnasium High School
fs,Welkom High School
fs,Brentpark High School
fs,Kroonstad High School
fs,Parys High School
fs,Albert Moroka High School
fs,Moroka High School
fs,Unicom High School
fs,Bainsvlei Combined School
fs,Brebner High School
fs,Eunice High School
fs,Grey College High School
fs,H.T.S Louis Botha
fs,Marti Du Plessis School
fs,Oranje Meisies School
fs,Rosenhof High School
fs,Sentraal High School
fs,Bethlehem Voortrekker High School
fs,Ficksburg High School
fs,Seotlong High School
fs,Kroonstad High School Landbou Terrein
gt,Allen Glen High School
gt,Hoērskool President
gt,Hoērskool Garsfonten
gt,Mondeor High School
gt,Queens High School
gt,Nokuthula LSEN School
gt,Westridge High School
gt,Alberton High School
gt,Allen Glen High School
gt,Bracken High School
gt,Ferndale High School
gt,Florida Park High School
gt,Greenside High School
gt,Hoërskool Alberton
gt,Hoërskool Dinamika
gt,Hoërskool Elspark
gt,Hoërskool Florida
gt,Hoërskool Linden
gt,Hoërskool President
gt,Hoërskool Roodepoort
gt,Jeppe High School for Boys
gt,Krugersdorp High School
gt,Mondeor High School
gt,Parklands High School
gt,Parktown Boys’ High School
gt,Pretoria High School for Girls
gt,Queens High School
gt,Rand Girls High School
gt,Rand Park High School
gt,Roosevelt High School
gt,St. Barnabas High School
gt,Westridge High School
nl,ADAMS COLLEGE
nl,AM MOOLLA SPES NOVA
nl,DLANEZWA HIGH SCHOOL
nl,DURBAN HIGH SCHOOL
nl,EMPANGENI HIGH
nl,ESAYIDI TVET COLLEGE GAMALAKHE CAMPUS
nl,ESHOWE HIGH SCHOOL
nl,ESTCOURT HIGH SCHOOL
nl,GLENWOOD HIGH SCHOOL
nl,HAYTHORNE HIGH SCHOOL
nl,INANDA SEMINARY SCHOOL
nl,KOKSTAD COLLEGE
nl,LADYSMITH HIGH SCHOOL
nl,MARITZBURG COLLEGE
nl,NORTHWOOD
nl,PIONIER HIGH SCHOOL
nl,PIETERMARITZBURG GIRLS’ HIGH
nl,PORT SHEPSTONE SEN. PRIMARY
nl,PORT NATAL HIGH SCHOOL
nl,SAREL CILLIERS HIGH
nl,SIYAMUKELA HIGH
nl,SUID NATAL HIGH SCHOOL
nl,UMFOLOZI TVET COLLEGE ESIKHAWINI CAMPUS
nl,UMLAZI COMP. TECH. HIGH
nl,V.N. NAIK SCHOOL
nl,VRYHEID COMPREHENSIVE
nl,VRYHEID HIGH SCHOOL
nl,VUKILE HIGH SCHOOL
lp,Makhado CPTD 1
lp,Makhado CPTD2
lp,Mastec CPTD
lp,Tivumbeni CPTD 1
